{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0552, 'n_source': 50, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.3012244897959184, 'oracle': 0.37, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0561, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8351515151515153, 'oracle': 0.37, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 50, 'n_target': 100, 'lipton': 0.4, 'prop-target': 0.733970588235294, 'oracle': 0.41, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.38768421052631574, 'oracle': 0.3, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0573, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8844999999999998, 'oracle': 0.34, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0546, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.7120664206642064, 'oracle': 0.35, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0538, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8409467455621302, 'oracle': 0.35, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.056, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.9066666666666666, 'oracle': 0.32, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0545, 'n_source': 50, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.7921666666666667, 'oracle': 0.25, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0553, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 1.0175000000000005, 'oracle': 0.32, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0548, 'n_source': 50, 'n_target': 100, 'lipton': 0.24, 'prop-target': 0.7900621118012423, 'oracle': 0.24, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0597, 'n_source': 50, 'n_target': 100, 'lipton': 0.41, 'prop-target': 0.8053846153846153, 'oracle': 0.41, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.14117647058823532, 'oracle': 0.31, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0527, 'n_source': 50, 'n_target': 100, 'lipton': 0.58, 'prop-target': 0.4873846153846152, 'oracle': 0.37, 'iter': 83}
